time,rms_energy,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,zero_crossing_rate,dissonance
0.0,0.0011728769168257,3516.2074915410594,10895.80078125,5604.134690626256,0.3793544173240661,0.0176870748299319,0.6710044861863291
0.1,0.0016191139584407,3187.341731848798,10658.935546875,5363.519997543564,0.2760364711284637,0.0204081632653061,0.2245144211373066
0.2,0.0008783005177974,4249.695784031759,13113.720703125,5708.86130213164,0.3066610693931579,0.0582766439909297,0.33248300953601545
0.3,0.001208143425174,4724.872870947346,13329.052734375,5868.002382151122,0.4389986097812652,0.0235827664399092,1.0
0.4,0.0015860371058806,3182.8360143575487,9194.677734375,5268.806791177719,0.3548288941383362,0.0192743764172335,0.5440787217959742
0.5,0.0026023755781352,3090.282490722986,8613.28125,5265.084879978745,0.353189468383789,0.0079365079365079,0.5368792601043217
0.6,0.0015386987943202,3268.7452293031342,9259.27734375,5324.127513977775,0.3745411336421966,0.0217687074829931,0.64559078005041
0.7,0.0020985838491469,3121.2717936799245,8010.3515625,4871.43927165486,0.3438184261322021,0.0145124716553287,0.49280261719091367
0.8,0.0045760911889374,2020.3676837998323,3100.78125,3503.39424195976,0.1737366318702697,0.0312925170068027,0.01818376252567245
0.9,0.0027176258154213,2619.1726930315017,4780.37109375,4436.952314034865,0.2816210985183716,0.0251700680272108,0.24507496858096037
1.0,0.0018795025534927,3521.0799484784334,8785.546875,5258.272583869656,0.4074110090732574,0.037641723356009,0.8353673647772876
1.1,0.0026401907671242,2574.64162152847,5254.1015625,4432.499680883878,0.2789483368396759,0.0308390022675736,0.2357582613581654
1.2,0.0031318503897637,3540.0016153152105,7967.28515625,4889.813592659765,0.3969810903072357,0.0569160997732426,0.7742564664034925
1.3,0.0039929430931806,3321.800965645749,7170.556640625,4830.152773643358,0.3723137080669403,0.0331065759637188,0.6371746942765306
1.4,0.0021350551396608,2283.6221212231917,3273.046875,3913.381870333789,0.2161871343851089,0.0514739229024943,0.07627142754038424
1.5,0.0039820773527026,2980.7174181954374,5663.232421875,4511.110218853534,0.3229800462722778,0.0442176870748299,0.4012433247677256
1.6,0.0045769093558192,2406.333165999528,3897.509765625,3764.5396453622648,0.2349260747432708,0.0344671201814058,0.11548516052807531
1.7,0.0034507282543927,2127.683420982582,3402.24609375,3095.475857140643,0.1581182032823562,0.0430839002267573,0.006661860302714594
1.8,0.0028053007554262,2635.366528308591,4220.5078125,4060.126623254904,0.2663757801055908,0.0390022675736961,0.19762960389941814
1.9,0.0024350301828235,3111.87253848843,5340.234375,4319.642939196482,0.3161207735538482,0.0691609977324263,0.37252320398974564
2.0,0.0029894453473389,2582.878187724596,4134.375,3762.5715201647545,0.237144649028778,0.0573696145124716,0.12021152750487761
2.1,0.0047612925991415,2152.978166893017,3359.1796875,2960.069377956304,0.1273670196533203,0.0503401360544217,1.4200662045292975e-05
2.2,0.0029188673943281,2631.1482172601577,4198.974609375,3794.854021966018,0.230475977063179,0.0492063492063492,0.10546201358013688
2.3,0.0046488717198371,2286.954809046716,3552.978515625,3806.538317232784,0.2262824177742004,0.0356009070294784,0.09657346011082993
2.4,0.0039524785242974,2585.5239913307737,4198.974609375,3917.477081417728,0.2513644397258758,0.0505668934240362,0.15557278585413684
2.5,0.0043165856041014,2422.8593923603103,3940.576171875,3292.791381922854,0.1822122484445572,0.07437641723356,0.026531930682673063
2.6,0.0035010641440749,2803.418490828594,4349.70703125,3763.880229667071,0.2393366247415542,0.0682539682539682,0.12566013086772912
2.7,0.0032593475189059,2775.4136936899354,4414.306640625,3800.033652477621,0.2483510673046112,0.0546485260770975,0.14798731978824456
2.8,0.0033856707159429,2529.895180705542,4069.775390625,3178.4401250133196,0.1812611818313598,0.0539682539682539,0.02569664471985253
2.9,0.0032831178978085,2740.146206272876,4112.841796875,3247.797640994185,0.1892605125904083,0.0612244897959183,0.035176258212383425
3.0,0.0022711970377713,2874.6484652467675,4457.373046875,3114.7744587819193,0.171701431274414,0.0938775510204081,0.016333740810982243
3.1,0.002088121837005,3018.034079780717,5297.16796875,3885.3375551871786,0.2682376801967621,0.0761904761904762,0.20289832330222635
3.2,0.0025084556546062,2968.749524233059,5124.90234375,3818.834001497267,0.2590683698654175,0.0882086167800453,0.17609783364612971
3.3,0.0024867330212146,3007.205124214311,5189.501953125,3955.685023859848,0.2788461744785309,0.0687074829931972,0.23628275506399224
3.4,0.0042885937727987,3182.7383373882294,5620.166015625,4138.278383479493,0.310141384601593,0.0764172335600907,0.349181638922405
3.5,0.0033245747908949,2939.9796481961716,5447.900390625,4086.259418664212,0.2823755443096161,0.0628117913832199,0.24773787240214795
3.6,0.0056402664631605,2733.760966927922,4478.90625,3698.474066625879,0.2461494505405426,0.0632653061224489,0.14259325491193225
3.7,0.0036554762627929,2865.873511386176,5254.1015625,3722.722097918642,0.2249928116798401,0.0671201814058956,0.09386134372513365
3.8,0.0038539567030966,2911.601277423555,5275.634765625,3675.921911600985,0.2394008338451385,0.0689342403628117,0.1257748461714928
3.9,0.0030640382319688,2877.709884768286,5275.634765625,3358.7284342323424,0.2111398577690124,0.091609977324263,0.06739654752610136
4.0,0.0033987897913903,2687.5703373273373,4995.703125,3351.015010834168,0.2005155384540558,0.0700680272108843,0.050285185534408965
4.1,0.0033714098390191,2582.161129713068,4672.705078125,3535.4184087354606,0.2143257111310959,0.0628117913832199,0.07306982102403356
4.2,0.0022021590266376,2774.2319702297623,5189.501953125,3415.9764762322784,0.2168726474046707,0.0673469387755102,0.07774795963278039
4.3,0.0038300000596791,2844.374622700202,5361.767578125,3561.8427013670525,0.2247550934553146,0.0716553287981859,0.09331887674381928
4.4,0.0035632387734949,3046.6823714188176,5878.564453125,4042.252020256547,0.2901340425014496,0.0605442176870748,0.27444662790120866
4.5,0.0037931487895548,2819.3598491415823,5921.630859375,3808.308345789044,0.2570986449718475,0.0473922902494331,0.170941936613801
4.6,0.0033588279038667,2790.7372557850144,5943.1640625,3496.2735098647586,0.1980639547109604,0.0625850340136054,0.046604043018280236
4.7,0.0030276016332209,2554.8436326732303,4478.90625,3705.683367305075,0.2317619323730468,0.03718820861678,0.10824606262146183
4.8,0.0038481771480292,2741.3615877775474,4909.5703125,3863.2391769354745,0.2385338544845581,0.0598639455782312,0.12354596967313528
4.9,0.0027498069684952,3015.584734851123,5318.701171875,3937.72703759364,0.2596860229969024,0.0571428571428571,0.17849207684451993
5.0,0.0028279051184654,2863.64155752736,6136.962890625,4087.486738194363,0.2541177868843078,0.0612244897959183,0.16217406461662578
5.1,0.0025285088922828,2556.5164064132223,4155.908203125,3732.453506029586,0.2349893152713775,0.0523809523809523,0.11522995108824942
5.2,0.003286860184744,2836.232585502782,4931.103515625,3301.8846241305364,0.1958487927913665,0.0752834467120181,0.04369636839397727
5.3,0.0031138388440012,3047.172382914849,5340.234375,3727.876583431496,0.2602764666080475,0.0714285714285714,0.18015981839110304
5.4,0.0040126554667949,3453.1760075926672,6804.4921875,4366.418150261938,0.3334431648254394,0.0544217687074829,0.44774444311239237
5.5,0.0028002839535474,3881.089032024175,7192.08984375,4675.190008673113,0.3878219425678253,0.0673469387755102,0.7238614509399586
5.6,0.0041607567109167,3395.9874976637693,6201.5625,4128.146880629499,0.3139081299304962,0.065079365079365,0.3649583593539747
5.7,0.0036588597577065,3165.213311371953,5555.56640625,3917.2505727121006,0.2764387726783752,0.0770975056689342,0.22894378342534402
5.8,0.0029551533516496,3034.158715302926,5555.56640625,4128.948976849485,0.2931774258613586,0.0691609977324263,0.2848695001300313
5.9,0.0034311723429709,2332.044855657218,4026.708984375,3538.2135578330276,0.2049833089113235,0.0643990929705215,0.05694821725652527
6.0,0.0025855780113488,2489.178287664839,4349.70703125,3714.8764168173248,0.234385460615158,0.0591836734693877,0.11353942897010318
6.1,0.0034282172564417,2852.019080110914,4715.771484375,3615.426690697982,0.2375459223985672,0.0773242630385487,0.12132638690079496
6.2,0.0054388707503676,2868.75967994246,4155.908203125,3251.9904752897787,0.1994114369153976,0.0700680272108843,0.04938675957693551
6.3,0.0081491153687238,2537.425606084198,3919.04296875,2585.173807739749,0.1325695216655731,0.0929705215419501,0.0
6.4,0.0074393977411091,2499.725817854087,3962.109375,2523.777657341237,0.1197501495480537,0.0800453514739229,0.0013771722482924143
6.5,0.0043988437391817,2631.9103774750843,4026.708984375,2756.358878349689,0.1387124955654144,0.0764172335600907,0.0
6.6,0.0045224907808005,2487.907703600389,3983.642578125,3011.1801467777937,0.174711987376213,0.0582766439909297,0.019165021051873767
6.7,0.0038988362066447,2820.154125107162,4629.638671875,3828.1315108577496,0.2681685090065002,0.0573696145124716,0.20331634055223874
6.8,0.0039678188040852,3213.3756012758017,5254.1015625,4119.722680030579,0.3139000236988067,0.0752834467120181,0.36448870792551485
6.9,0.0068649617023766,2429.4520276647795,3574.51171875,3434.0589431673143,0.2127254158258438,0.0467120181405895,0.07099808363740182
7.0,0.0036072703078389,2452.005350049474,3703.7109375,3764.706956331844,0.2405684739351272,0.0605442176870748,0.128187439277492
7.1,0.0035075705964118,3132.0811206908884,5490.966796875,4154.502035918627,0.3075243234634399,0.0668934240362811,0.33886658556765437
7.2,0.0032062528189271,2817.8005644487816,4651.171875,3540.963167880827,0.2451056540012359,0.065079365079365,0.1397208950585832
7.3,0.004191864747554,2469.026913979191,3983.642578125,3389.3407137414356,0.208630234003067,0.064625850340136,0.06329057375863567
7.4,0.0034941462799906,2780.288013946034,4328.173828125,3808.237584949899,0.2637293040752411,0.0619047619047619,0.19004344867885503
7.5,0.0035803196951746,2573.894046134611,4198.974609375,3596.4580055581037,0.2376947999000549,0.0489795918367346,0.12177371920502801
7.6,0.0042244084179401,2390.7973872428156,3983.642578125,2982.981766474985,0.1584292501211166,0.0566893424036281,0.006879465227464473
7.7,0.0037312668282538,2606.8884205560566,4371.240234375,3247.0301703217892,0.1954798698425293,0.0451247165532879,0.04338236483177215
7.8,0.007597513962537,2573.6208291952576,4048.2421875,3172.1133985251136,0.185058444738388,0.0705215419501133,0.030212058397554982
7.9,0.0029458766803145,2516.8921111993604,4005.17578125,3465.476260358202,0.2172083705663681,0.073469387755102,0.07829060241350239
8.0,0.0062641506083309,2737.124474730601,4457.373046875,3894.85211351563,0.264559268951416,0.0385487528344671,0.193323436684878
8.1,0.0057322103530168,2662.8712435474677,4091.30859375,3664.712529056072,0.2392392605543136,0.073469387755102,0.12555457173972578
8.2,0.0036006434820592,2685.4753500417937,4005.17578125,3206.482192976585,0.1952416449785232,0.0884353741496598,0.04279540701290315
8.3,0.0046693128533661,2353.6495473754717,3832.91015625,3311.3493161969463,0.2009878158569336,0.0546485260770975,0.051144483254745486
8.4,0.0041447882540524,2127.553784433171,3940.576171875,3149.6799341013416,0.1780754625797271,0.046031746031746,0.022121465535755943
8.5,0.0045016622170805,2394.2711782589117,4263.57421875,3823.3805177437657,0.2387558370828628,0.0512471655328798,0.12381268995493935
8.6,0.003974761813879,2963.961512563741,5383.30078125,4189.100555970608,0.3042067289352417,0.0501133786848072,0.3261139016218297
8.7,0.0051938518881797,2447.634363294223,4048.2421875,3441.9635443044567,0.2108014523983001,0.0451247165532879,0.06730168866013828
8.8,0.0031334145460277,2212.7121375883044,3919.04296875,3277.772655508373,0.1683775335550308,0.0462585034013605,0.013490084980134529
8.9,0.003959612455219,1988.8611474774204,3337.646484375,3178.9756174389854,0.1600628793239593,0.0451247165532879,0.007729271895542795
9.0,0.003510758979246,2366.902144440699,3639.111328125,3678.5650312444136,0.218938872218132,0.0437641723356009,0.08183010544993398
9.1,0.0048535242676734,2054.2044689260556,3208.447265625,3396.8475679983926,0.1788487583398819,0.0435374149659863,0.02303074390824516
9.2,0.0048134373500943,2004.786389161916,2950.048828125,3091.9544963892745,0.1574690341949463,0.0492063492063492,0.00632158271069923
9.3,0.0025053501594811,2484.9936280247325,3639.111328125,3459.807672083121,0.2080976814031601,0.0521541950113378,0.06245909738935358
9.4,0.0035530282184481,2361.0555656237175,3509.912109375,3410.6620750473194,0.1977446675300598,0.0478458049886621,0.04638844682337271
9.5,0.0035552107729017,2277.6637792176957,3574.51171875,3639.159224808237,0.211687296628952,0.0346938775510204,0.06856883705835443
9.6,0.0030194879509508,2564.638002195611,4112.841796875,3530.933334022438,0.2223452925682068,0.0521541950113378,0.0885446612270465
9.7,0.0026628433261066,2544.0427707314743,4069.775390625,3470.903320222579,0.2171377539634704,0.0594104308390022,0.07834430264236728
9.8,0.0044574816711246,2661.757306839738,4349.70703125,4124.513078690605,0.2749760150909424,0.0510204081632653,0.2240200257152884
9.9,0.0061696493066847,2728.4854531062897,4651.171875,4072.6017367010513,0.2645646929740906,0.037641723356009,0.1930908877907746
10.0,0.0063728694804012,2703.0903295945513,4629.638671875,3520.245609426239,0.1961814314126968,0.0793650793650793,0.04428358270073753
10.1,0.0058053657412528,2529.7326113370063,3983.642578125,3489.38991717878,0.2202372103929519,0.0555555555555555,0.08474674512983389
10.2,0.0058215823955833,2565.593876150462,3703.7109375,3525.7588010760846,0.2255215048789978,0.0918367346938775,0.0949323666983109
10.3,0.0047861221246421,2399.7637970331302,3596.044921875,3304.1063348206176,0.2006549388170242,0.0596371882086167,0.05073480154416862
10.4,0.0065965494140982,2429.292893057041,3531.4453125,3299.776063130361,0.2035653740167617,0.0600907029478458,0.05548272845080982
10.5,0.0049733240157365,2812.783602349453,4026.708984375,3601.529407328275,0.243559718132019,0.0634920634920634,0.13645757280729276
10.6,0.0033713355660438,3129.8990203723897,5361.767578125,3974.627809482415,0.2898836731910705,0.0682539682539682,0.27398215734390735
10.7,0.0042705149389803,3028.098695442512,4715.771484375,3544.7402352637137,0.2431856542825698,0.0693877551020408,0.13556455679729262
10.8,0.005166471004486,2597.6291679246747,4242.041015625,2922.815474888489,0.1721971780061721,0.0789115646258503,0.01685555938428723
10.9,0.0080484831705689,2500.2159714143368,3983.642578125,3345.4836792973933,0.2023768424987793,0.0655328798185941,0.05369804587000299
11.0,0.0032674523536115,3028.6373567379687,5081.8359375,4130.82716224885,0.2948142290115356,0.0607709750566893,0.29130844491085683
11.1,0.0051201004534959,2926.8296622919866,5038.76953125,3928.7470341448447,0.2731586992740631,0.065079365079365,0.2187385177007721
11.2,0.005069410894066,2339.584930841311,3531.4453125,3063.4171926526924,0.1733968257904052,0.0561224489795918,0.017951962909920557
11.3,0.0063256248831748,2184.606792783108,3596.044921875,2763.7300408571086,0.1351571977138519,0.073015873015873,0.0
11.4,0.0050333319231867,2100.784992340786,3380.712890625,2905.6402218928256,0.1490682959556579,0.0566893424036281,0.002502497817817646
11.5,0.0057470393367111,2498.7545604927955,3983.642578125,3026.7770410660755,0.1791069656610489,0.073015873015873,0.023462341014426288
11.6,0.0046826908364892,2735.1757954533314,4005.17578125,3360.4252823545103,0.2159784138202667,0.0764172335600907,0.0766419307989703
11.7,0.0060366280376911,2441.8934995572668,3725.244140625,2854.8683885646656,0.1601303070783615,0.0702947845804988,0.007955346353696007
11.8,0.0070942807942628,2665.584158285617,4220.5078125,3333.5366636290823,0.2156158685684204,0.0625850340136054,0.07630413741976215
11.9,0.0073009114712476,2894.432166550263,4995.703125,3528.6929726685325,0.2457737028598785,0.0668934240362811,0.14216485102585227
12.0,0.0094000911340117,3265.5153661634527,5900.09765625,4208.140169721627,0.3233065903186798,0.0675736961451247,0.4049540685739563
12.1,0.0128749748691916,3424.344515650711,6136.962890625,3813.1050439380488,0.2892143428325653,0.0897959183673469,0.27423832191663833
12.2,0.0121011147275567,2952.3455905076185,4521.97265625,2655.0467728939057,0.1333969384431839,0.0972789115646258,0.0
12.3,0.0068184677511453,2785.5298959004494,4651.171875,2923.3288125761183,0.1686701625585556,0.0791383219954648,0.01408745092793041
12.4,0.0222109649330377,3065.245742194139,4694.23828125,3613.6061723359594,0.2517583072185516,0.0623582766439909,0.16117606954103006
12.5,0.0112876156345009,3081.4284558949457,4866.50390625,3944.778722614842,0.289405345916748,0.0560090702947845,0.2748219632495676
12.6,0.0112297208979725,2395.9718528950057,3725.244140625,2424.3755883199915,0.1183035299181938,0.092517006802721,0.001747001591319849
12.7,0.0234760753810405,2296.764044347575,3574.51171875,2340.9920511124687,0.0949401408433914,0.0589569160997732,0.01424430141629793
12.8,0.0108951656147837,2767.26142921673,4435.83984375,2916.399506696217,0.1725529730319976,0.0705215419501133,0.01771840950817629
