time,rms_energy,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,zero_crossing_rate,dissonance
0.0,0.0040736822411417,2373.1736156664406,4651.171875,4476.134039584503,0.2724245190620422,0.0158730158730158,0.21546364459777237
0.1,0.0028625302948057,2227.240336196798,3962.109375,4284.994478940761,0.2535311877727508,0.0219954648526077,0.16063864264767552
0.2,0.0009921588934957,1921.5296840383496,2540.91796875,3753.8743301596382,0.2010005712509155,0.0306122448979591,0.05066110069023227
0.3,0.0025830569211393,2553.7717296231604,5211.03515625,4567.3600901896925,0.2950631380081177,0.0160997732426303,0.29105361867445173
0.4,0.0065990425646305,2175.6753903197027,3725.244140625,4243.9198202963225,0.2473912537097931,0.0158730158730158,0.14546395450427685
0.5,0.0096841352060437,1474.7482437316542,1485.791015625,3462.0635369969045,0.1576223969459533,0.0160997732426303,0.006697421773953382
0.6,0.0112266987562179,2095.975136119193,3509.912109375,4190.555706817144,0.2377559542655944,0.0158730158730158,0.12271657504075191
0.7,0.0088706677779555,2997.1360290500393,6998.291015625,4955.051807637641,0.3507509231567383,0.0158730158730158,0.5283095324411109
0.8,0.0074772369116544,3186.9611185287245,7644.287109375,5084.3759248834,0.374670922756195,0.0170068027210884,0.6502663406468461
0.9,0.0119000310078263,2425.434191392422,4866.50390625,4519.335652284092,0.2810987532138824,0.0163265306122449,0.24505326883333806
1.0,0.0127849942073225,2640.677816160774,4823.4375,4398.779753111505,0.2941202521324157,0.0174603174603174,0.29103378004425495
1.1,0.0110730631276965,2482.181569780841,4177.44140625,4202.699792206804,0.2671479284763336,0.0163265306122449,0.20172683987356618
1.2,0.0123491715639829,1701.4379488086984,2002.587890625,3469.422122051768,0.1725034713745117,0.0233560090702947,0.017565208990122587
1.3,0.0117525625973939,2587.109679747059,4543.505859375,4267.770365259656,0.2712782025337219,0.0331065759637188,0.21413121976794375
1.4,0.0143953440710902,2926.5312114391904,4414.306640625,3885.769645438379,0.2814347445964813,0.019954648526077,0.24910526680358475
1.5,0.0203937590122222,2510.901657919597,4177.44140625,3838.917775331276,0.2457142323255539,0.019501133786848,0.14456601859953092
1.6,0.0303703565150499,3397.038860642511,7213.623046875,4895.468648828661,0.3768318295478821,0.0555555555555555,0.6713924644804323
1.7,0.0327083058655262,2917.238329988024,5297.16796875,3766.239215499818,0.2523102760314941,0.0689342403628117,0.16383438628685573
1.8,0.0184533670544624,2175.965460210137,4371.240234375,2527.804144794458,0.1072711870074272,0.055328798185941,0.006319032546052358
1.9,0.0438308231532573,3519.4287770674005,5684.765625,2974.1278829212056,0.1932965815067291,0.0877551020408163,0.045033618258223364
2.0,0.0341538190841674,3054.3107637286644,5211.03515625,4048.490352315565,0.2829971611499786,0.0619047619047619,0.2580155588015851
2.1,0.0677153095602989,4066.2312188726287,6933.69140625,4282.522740326232,0.3088772594928741,0.1027210884353741,0.3644326340232247
2.2,0.0246114432811737,4664.184883356656,8462.548828125,4667.9227951926405,0.4027581512928009,0.1226757369614512,0.8217178118426367
2.3,0.0183565355837345,3055.7721807623275,4758.837890625,3036.4520053040237,0.1970511227846145,0.1031746031746031,0.04712014881987902
